"formula","logLik","RMSE","MAE","R","R2","AIC","n_predictors","intercept","sigma","sigma2","MWa","logKowb","Mptc","LogSaqd","LogSoce","Hdf","Hag","MVh","Texpi","Skin.thicknessj","model_rank"
"logkpl ~ MWa + Mptc + LogSaqd",-388.256823392342,0.811057993413796,0.667098528395155,0.705715447164396,0.498034292366443,786.513646784685,3,-1.87498211699658,0.816159037368885,0.666115574278905,-0.00622720521221909,NA,-0.00408955941695822,-0.418787752293468,NA,NA,NA,NA,NA,NA,256
"logkpl ~ MWa + LogSaqd + Hdf + Hag + MVh + Texpi + Skin.thicknessj",-391.617690237449,0.819594372556182,0.65931951032578,0.698149207876675,0.487412316458828,801.235380474898,7,-11.5325631413761,0.830002337083913,0.688903879564758,-0.0054119281946236,NA,NA,-0.290615853279365,NA,-0.217244664903639,-0.018674531806791,-0.000345778455189746,0.0299506932475649,-0.340054195382059,257
"logkpl ~ MWa + LogSaqd + Hdf + Hag + MVh + Texpi",-391.633603373438,0.819635003833406,0.659760456174416,0.698112807698422,0.487361492272573,799.267206746876,6,-11.5736546473233,0.828720705032926,0.686778006950271,-0.0053869617804199,NA,NA,-0.290389222828264,NA,-0.217077256789042,-0.0188504956573584,-0.00034790662847246,0.0299693084877145,NA,258
"logkpl ~ MWa + LogSaqd + Hdf + Hag + Texpi + Skin.thicknessj",-391.638229962249,0.819646817358222,0.659750958756107,0.698102223668899,0.487346714691461,799.276459924498,6,-11.4042851531446,0.828732649511345,0.686797804366094,-0.00566076690020606,NA,NA,-0.28907901162837,NA,-0.214924204906821,-0.0173169279556318,NA,0.029506151538972,-0.342755678763185,259
"logkpl ~ MWa + LogSaqd + Hdf + Hag + Texpi",-391.654395648025,0.819688096132501,0.660198106006692,0.698065238534612,0.487295077250385,797.30879129605,5,-11.444909298937,0.827457825245042,0.684686452559254,-0.00563714469314745,NA,NA,-0.288841035137065,NA,-0.214741062636723,-0.017485875905773,NA,0.0295221576759718,NA,260
"logkpl ~ MWa + LogSaqd + Hdf + MVh + Texpi + Skin.thicknessj",-391.711598245641,0.819834178582212,0.65708876848491,0.697934320247476,0.487112315379307,799.423196491281,6,-11.2869244774105,0.828922087645289,0.687111827386224,-0.00583312871199318,NA,NA,-0.300421202116066,NA,-0.225244841272856,NA,-0.000230823275047024,0.0290732534748846,-0.358967797799691,261
"logkpl ~ MWa + LogSaqd + Hdf + Texpi + Skin.thicknessj",-391.720972661878,0.819858121196104,0.657499903962604,0.697912858440868,0.487082357977103,797.441945323756,5,-11.2113880047874,0.827629461956651,0.684970526298656,-0.00598240744063914,NA,NA,-0.298882246092849,NA,-0.223259601222738,NA,NA,0.0288127876168917,-0.359875229705039,262
"logkpl ~ MWa + LogSaqd + Hdf + MVh + Texpi",-391.729329586671,0.819879465687838,0.657492783456779,0.697893724467797,0.487055650651533,797.458659173342,5,-11.3278796254588,0.827651008770366,0.685006192318604,-0.00581095163390884,NA,NA,-0.300279423644692,NA,-0.225147646818641,NA,-0.000231926964289283,0.0290841821388564,NA,263
"logkpl ~ MWa + LogSaqd + Hdf + Texpi",-391.738792931658,0.819903636767589,0.657912525133105,0.697872055404272,0.487025405714183,795.477585863315,4,-11.2520850817444,0.82636475824728,0.682878713673085,-0.00596088962681827,NA,NA,-0.298732730241966,NA,-0.223152643290621,NA,NA,0.0288224954501372,NA,264
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Hag + MVh + Texpi + Skin.thicknessj",-393.313758910448,0.82393632652306,0.684603054063577,0.69423834007612,0.481966872831646,806.627517820895,8,-9.44863129023694,0.835735538011863,0.698453889495977,0.0021570357055701,NA,-0.00258478780229435,NA,0.142882849983764,-0.187821951372668,-0.133292614713086,-0.000389501895727541,0.0282485570504053,0.191048994307522,265
