"item","value"
"selected_model_formula","logkpl ~ MWa + log(Mptc) + LogSaqd + LogSoce + log(Texpi) + I(Mptc^2) + I(LogSaqd^2) + MWa:LogSaqd"
"n_observations","321"
"n_compounds","140"
"n_predictors","5"
"predictors","MWa, Mptc, LogSaqd, LogSoce, Texpi"
"n_terms_excluding_intercept","8"
"residual_standard_error","0.653121053314506"
"multiple_R2","0.683621356527413"
"adjusted_R2","0.67550908361786"
"AIC","648.34259206994"
"BIC","686.05700330124"
