"x_predictor","modifier_predictor","x_predictor_label","modifier_predictor_label","x","modifier_level","modifier_value","predicted_logkpl"
"MWa","LogSaqd","Molecular weight","Aqueous solubility",200.045454545455,"10th percentile",-7.31875876262441,-1.52979712059843
"MWa","LogSaqd","Molecular weight","Aqueous solubility",204.090909090909,"10th percentile",-7.31875876262441,-1.55512821120526
"MWa","LogSaqd","Molecular weight","Aqueous solubility",208.136363636364,"10th percentile",-7.31875876262441,-1.58045930181211
"MWa","LogSaqd","Molecular weight","Aqueous solubility",212.181818181818,"10th percentile",-7.31875876262441,-1.60579039241895
"MWa","LogSaqd","Molecular weight","Aqueous solubility",216.227272727273,"10th percentile",-7.31875876262441,-1.63112148302579
"MWa","LogSaqd","Molecular weight","Aqueous solubility",220.272727272727,"10th percentile",-7.31875876262441,-1.65645257363262
"MWa","LogSaqd","Molecular weight","Aqueous solubility",224.318181818182,"10th percentile",-7.31875876262441,-1.68178366423946
"MWa","LogSaqd","Molecular weight","Aqueous solubility",228.363636363636,"10th percentile",-7.31875876262441,-1.70711475484629
"MWa","LogSaqd","Molecular weight","Aqueous solubility",232.409090909091,"10th percentile",-7.31875876262441,-1.73244584545314
"MWa","LogSaqd","Molecular weight","Aqueous solubility",236.454545454545,"10th percentile",-7.31875876262441,-1.75777693605998
"MWa","LogSaqd","Molecular weight","Aqueous solubility",240.5,"10th percentile",-7.31875876262441,-1.78310802666681
"MWa","LogSaqd","Molecular weight","Aqueous solubility",244.545454545455,"10th percentile",-7.31875876262441,-1.80843911727365
"MWa","LogSaqd","Molecular weight","Aqueous solubility",248.590909090909,"10th percentile",-7.31875876262441,-1.83377020788048
"MWa","LogSaqd","Molecular weight","Aqueous solubility",252.636363636364,"10th percentile",-7.31875876262441,-1.85910129848733
"MWa","LogSaqd","Molecular weight","Aqueous solubility",256.681818181818,"10th percentile",-7.31875876262441,-1.88443238909417
"MWa","LogSaqd","Molecular weight","Aqueous solubility",260.727272727273,"10th percentile",-7.31875876262441,-1.90976347970101
"MWa","LogSaqd","Molecular weight","Aqueous solubility",264.772727272727,"10th percentile",-7.31875876262441,-1.93509457030784
"MWa","LogSaqd","Molecular weight","Aqueous solubility",268.818181818182,"10th percentile",-7.31875876262441,-1.96042566091468
"MWa","LogSaqd","Molecular weight","Aqueous solubility",272.863636363636,"10th percentile",-7.31875876262441,-1.98575675152152
"MWa","LogSaqd","Molecular weight","Aqueous solubility",276.909090909091,"10th percentile",-7.31875876262441,-2.01108784212835
"MWa","LogSaqd","Molecular weight","Aqueous solubility",280.954545454545,"10th percentile",-7.31875876262441,-2.0364189327352
"MWa","LogSaqd","Molecular weight","Aqueous solubility",285,"10th percentile",-7.31875876262441,-2.06175002334203
"MWa","LogSaqd","Molecular weight","Aqueous solubility",289.045454545455,"10th percentile",-7.31875876262441,-2.08708111394887
"MWa","LogSaqd","Molecular weight","Aqueous solubility",293.090909090909,"10th percentile",-7.31875876262441,-2.11241220455571
"MWa","LogSaqd","Molecular weight","Aqueous solubility",297.136363636364,"10th percentile",-7.31875876262441,-2.13774329516255
