"analysis","RMSE","MAE","R2_pred"
"Selected model LOCO-CV",0.680390898895851,0.506000326682596,0.646745890694135
"Random forest using selected predictors",0.65719764317331,0.489083786135761,0.670418955523906
"RDKit RF molecular only, as-reported",0.697717672982015,0.522033336348406,0.628559566312111
"RDKit RF with experimental variables, as-reported",0.658118208430043,0.496073006003518,0.66952581217033
"Row-wise CV sensitivity",0.670884304024156,0.496306181233261,0.656503069086744
"Central applicability domain",0.577415899608292,0.413960562929568,0.59577946122134
"Broad applicability domain",0.709345101932256,0.546237906264319,0.62066709409289
"Outside applicability domain",0.891986447410126,0.702836699709467,-0.142466008178742
