"compound_id","CAS.No","Compound","observed","mu","residual","abs_error","domain_class","n_predictors_outside_broad","n_predictors_outside_central","MWa","Mptc","LogSaqd","LogSoce","Texpi"
"93-60-7","93-60-7","nicotinate, methyl",-3.27572413039921,-2.10961838550593,-1.16610574489328,1.16610574489328,"central",0,0,137.1,316,-3.2839966563652,-2.4039966563652,310
"614-18-6","614-18-6","nicotinate, ethyl",-3.08618614761628,-1.93176314860408,-1.1544229990122,1.1544229990122,"central",0,0,151.2,282,-3.32364617807633,-1.91364617807633,310
"108-88-3","108-88-3","toluene",-0.0809219076239261,-1.22798306640332,1.14706115877939,1.14706115877939,"broad",0,1,92.1,178,-5.24412514432751,-2.56412514432751,310
"76-25-5","76-25-5","triamcinolone acetonide",-3.40230481407449,-4.54211781598617,1.13981300191168,1.13981300191168,"outside",2,2,434.5,566,-7.31875876262441,-4.71875876262441,310
"58-08-2","58-08-2","caffeine",-4.58586563707645,-3.47507654253157,-1.11078909454488,1.11078909454488,"broad",0,1,194.2,511,-3.84264502229839,-3.92264502229839,303
"56-81-5","56-81-5","glycerol",-4.56863623584101,-3.45866441335174,-1.10997182248927,1.10997182248927,"outside",1,1,92.1,291.2,-1.24031165376521,-3.04031165376521,310
"69-72-7","69-72-7","salicylic acid",-3.03151705144606,-1.93073886568509,-1.10077818576097,1.10077818576097,"central",0,0,138.1,432,-4.79588001734407,-2.73588001734407,310
"26839-75-8","26839-75-8","timolol",-3.53521248035406,-2.44745889751665,-1.08775358283741,1.08775358283741,"central",0,0,316.42,345,-5.8891928217776,-4.0591928217776,310
"58-22-0","58-22-0","testosterone",-1.41570671752568,-2.47930366502275,1.06359694749707,1.06359694749707,"central",0,0,288.42,428,-7.00097615680496,-3.52097615680496,305
"57-83-0","57-83-0","progesterone",-1.69897000433602,-2.71869702862964,1.01972702429362,1.01972702429362,"broad",0,1,314.45999,394,-7.55284196865778,-3.78287416732834,298
"112-30-1","112-30-1","decanol",-1.95860731484178,-0.951886164521667,-1.00672115032011,1.00672115032011,"central",0,0,158.28,279,-6.631224317527,-2.731224317527,310
"92-48-8","92-48-8","6-methylcoumarin",-1.18136926112576,-2.18573013505591,1.00436087393015,1.00436087393015,"central",0,0,160.17,347.5,-3.56938015318325,-2.15538015318325,305
"26839-75-8","26839-75-8","timolol",-3.57016261901271,-2.56694579835126,-1.00321682066145,1.00321682066145,"central",0,0,316.42,345,-5.96300840876861,-4.13300840876861,305
