"term","estimate","standard_error","t_value","p_value","abs_estimate"
"(Intercept)",-45.9176682244961,14.0182518408246,-3.27556308346327,0.00117318295305447,45.9176682244961
"MWa",0.000375809926568967,0.0013287716036325,0.282825073580445,0.777498478828799,0.000375809926568967
"log(Mptc)",1.10599674201946,0.384733801200664,2.87470645565299,0.00432192057409233,1.10599674201946
"LogSaqd",-0.902714690935788,0.0954810591283547,-9.45438497621055,8.09978196951428e-19,0.902714690935788
"LogSoce",0.290408454854132,0.0354491652010087,8.19225088115384,6.67566199694978e-15,0.290408454854132
"log(Texpi)",6.41176738509397,2.44791071613105,2.61928155420138,0.00924203591230161,6.41176738509397
"I(Mptc^2)",-8.55206631998185e-06,1.6522396899529e-06,-5.17604459691054,4.06725809347933e-07,8.55206631998185e-06
"I(LogSaqd^2)",-0.039347481149215,0.0124891254204223,-3.15053935521167,0.00178770164553637,0.039347481149215
"MWa:LogSaqd",0.000906906217933983,0.00024947539107215,3.63525321690627,0.00032470732382016,0.000906906217933983
