"Compound","CAS.No","MWa","logKowb","Mptc","LogSaqd","LogSoce","Hdf","Hag","MVh","Texpi","Skin.thicknessj","logkpl","loco_mu","loco_residual","loco_abs_error"
"oleic acid","112-80-1",282.45999,7.73,286.5,-10.0362079938309,-2.30620799383095,1,2,334.375,310,0.1,-2.88605664769316,-1.30652483827864,-1.57953180941452,1.57953180941452
"phenol","108-95-2",94.1,1.48,314,-3.08618614761628,-1.60618614761628,1,1,81.4,295,0.1,-3.82792274303052,-2.17884604833463,-1.64907669469589,1.64907669469589
"progesterone","57-83-0",314.45999,3.76996780132944,394,-7.55284196865778,-3.78287416732834,0,2,278.3,298,0.1,-1.69897000433602,-2.71869702862964,1.01972702429362,1.01972702429362
"salicylate","63-36-5",137.11,2.06,432,-2.0388382055451,0.0211617944549037,1,3,90.9,305,0.1,-3.96686900819185,-2.55691210911188,-1.40995689907997,1.40995689907997
"salicylic acid","69-72-7",138.1,2.06,432,-4.79588001734407,-2.73588001734407,2,3,90.9,310,0.1,-3.03151705144606,-1.93073886568509,-1.10077818576097,1.10077818576097
"sucrose","57-50-1",342.3,-3.85,459,-2.03621217265444,-5.88621217265444,8,11,144.5,310,0.1,-3.13406733180681,-5.02014803617898,1.88608070437217,1.88608070437217
"testosterone","58-22-0",288.42,3.48,428,-7.00097615680496,-3.52097615680496,1,2,244,305,0.128,-1.41570671752568,-2.47930366502275,1.06359694749707,1.06359694749707
"tetraethylammonium","71-91-0",130.3,-2.82,559,-2.11350927482752,-4.93350927482752,0,1,189.4,298,0.1,-3.25387553642834,-5.16278578932675,1.90891025289841,1.90891025289841
"tetraethylammonium bromide (+)","71-91-0",130.25,-2.82,559,-1.85387196432176,-4.67387196432176,0,1,189.4,310,0.1,-3.36815053784018,-4.99100614388188,1.6228556060417,1.6228556060417
"timolol","26839-75-8",316.42,1.83,345,-5.8891928217776,-4.0591928217776,2,8,258.5,310,0.1,-3.53521248035406,-2.44745889751665,-1.08775358283741,1.08775358283741
"timolol","26839-75-8",316.42,1.83,345,-5.96300840876861,-4.13300840876861,2,8,258.5,305,0.1,-3.57016261901271,-2.56694579835126,-1.00321682066145,1.00321682066145
"toluene","108-88-3",92.1,2.68,178,-5.24412514432751,-2.56412514432751,0,0,104.9,310,0.01,-0.0809219076239261,-1.22798306640332,1.14706115877939,1.14706115877939
"triamcinolone acetonide","76-25-5",434.5,2.6,566,-7.31875876262441,-4.71875876262441,2,6,434.5,310,0.1,-3.40230481407449,-4.54211781598617,1.13981300191168,1.13981300191168
