"group","n_observations","n_compounds","RMSE","MAE","R2_pred","median_abs_error","n_abs_error_gt_1","proportion_abs_error_gt_1"
"overall",321,140,0.680390898895851,0.506000326682596,0.646745890694135,0.387265971935662,46,0.143302180685358
"central",145,71,0.577415899608292,0.413960562929568,0.59577946122134,0.298373952473425,17,0.117241379310345
"broad",136,53,0.709345101932256,0.546237906264319,0.62066709409289,0.455847334987767,17,0.125
"outside",40,25,0.891986447410126,0.702836699709467,-0.142466008178742,0.504195130227652,12,0.3
