"item","value"
"n_total_observations","321"
"n_total_compounds","140"
"n_central_domain_observations","0"
"n_central_domain_compounds","0"
"proportion_observations_in_central_domain","0"
"proportion_compounds_in_central_domain","0"
"MWa_range","100-250"
"logKowb_range","0-4"
"Mptc_range","200-400"
"LogSaqd_range","-7 to -4"
