"compound_id","CAS.No","Compound","logkpl","MWa","Mptc","LogSaqd","LogSoce","Texpi"
"69-65-8","69-65-8","mannitol",-4,182.2,440,-2.92081875395238,-7.59081875395238,303
"69-65-8","69-65-8","mannitol",-4.68257958814785,182,440,-2.91176652493691,-6.17176652493691,310
"69-65-8","69-65-8","mannitol",-4.45692576496647,182.2,440,-2.91176652493691,-6.17176652493691,310
"69-65-8","69-65-8","mannitol",-4.77257756999574,182.2,440,-2.92081875395238,-7.59081875395238,304
"69-65-8","69-65-8","mannitol",-4.43830246734601,182.2,440,-2.91176652493691,-6.17176652493691,310
"69-65-8","69-65-8","mannitol",-4.18810341360238,182.2,440,-3,-7.67,300
"69-65-8","69-65-8","mannitol",-4.00436480540245,182.2,440,-2.74472749489669,-7.41472749489669,312
"69-65-8","69-65-8","mannitol",-3.97265039222524,182.2,440,-3.04095860767891,-7.71095860767891,298
"69-65-8","69-65-8","mannitol",-3.1536628878702,182,440,-2.91176652493691,-6.17176652493691,310
"69-72-7","69-72-7","salicylic acid",-3.03151705144606,138.1,432,-4.79588001734407,-2.73588001734407,310
"69-72-7","69-72-7","salicylic acid",-1.34678748622466,138.1,432,-4.60940043746848,-2.54940043746848,310
"71-23-8","71-23-8","n-propanol",-2.92081875395238,60.09,147,-1.88605664769316,-1.54605664769316,310
"71-23-8","71-23-8","propanol",-2.76955107862173,60,147,-1.88605664769316,-1.54605664769316,303
"71-23-8","71-23-8","propanol",-2.92081875395238,60,147,-1.88605664769316,-1.54605664769316,298
"71-36-3","71-36-3","butanol",-2.52287874528034,74.1,184,-3.07058107428571,-2.19058107428571,303
"71-36-3","71-36-3","butanol",-2.10237290870956,74.1,184,-3.07058107428571,-2.19058107428571,308
"71-36-3","71-36-3","butanol",-2.65757731917779,74.1,184,-3.07058107428571,-2.19058107428571,298
"71-36-3","71-36-3","butanol",-2.65757731917779,74.12,184,-3.07058107428571,-2.19058107428571,298
"71-36-3","71-36-3","butanol",-2.60205999132796,74.1,184,-3.07058107428571,-2.19058107428571,298
"71-36-3","71-36-3","n-butanol",-2.60205999132796,74.12,184,-3.07058107428571,-2.19058107428571,310
"71-41-0","71-41-0","n-pentanol",-2.22184874961636,88.15,194,-3.60205999132796,-2.19205999132796,310
"71-41-0","71-41-0","pentanol",-2.22184874961636,88.2,194,-3.60205999132796,-2.19205999132796,298
"71-43-0","71-43-0","benzene",-0.954285941059132,78.1,279,-4.63827216398241,-2.41827216398241,304
"71-43-0","71-43-0","benzene",-0.795880017344075,78.1,279,-4.63827216398241,-2.41827216398241,298
"71-91-0","71-91-0","tetraethylammonium",-3.25387553642834,130.3,559,-2.11350927482752,-4.93350927482752,298
"71-91-0","71-91-0","tetraethylammonium bromide (+)",-3.36815053784018,130.25,559,-1.85387196432176,-4.67387196432176,310
"76-25-5","76-25-5","triamcinolone acetonide",-3.40230481407449,434.5,566,-7.31875876262441,-4.71875876262441,310
"76-25-5","76-25-5","triamcinolone acetonide",-4.70663744528855,434.5,566,-7.3767507096021,-4.7767507096021,298
"76180-96-6","76180-96-6","3-methyl-3h-imidazo[4,5-f]quinolin-2-amine",-2.07218350508968,198.22,573,-5.87371358049469,-4.13071358049469,305
"76180-96-6","76180-96-6","3-methyl-3h-imidazo[4,5-f]quinolin-2-amine",-2.43056359552234,198.22,573,-5.87371358049469,-4.13071358049469,305
"7732-18-5","7732-18-5","water",-2.80687540164554,18,273,-1.2518119729938,-2.6318119729938,303
"7732-18-5","7732-18-5","water",-2.98540960554622,18,273,-1.2518119729938,-2.6318119729938,303
"7732-18-5","7732-18-5","water",-2.80966830182971,18,273,-1.2518119729938,-2.6318119729938,305
"7732-18-5","7732-18-5","water",-3.14997431819434,18.02,273,-1.2518119729938,-2.6318119729938,305
"7732-18-5","7732-18-5","water",-3.07058107428571,18,273,-1.2518119729938,-2.6318119729938,303
"7732-18-5","7732-18-5","water",-3.24233473501217,18,273,-1.2518119729938,-2.6318119729938,305
"7732-18-5","7732-18-5","water",-3.45621525646938,18,273,-1.2518119729938,-2.6318119729938,305
"7732-18-5","7732-18-5","water",-3.27134965805094,18,273,-1.2518119729938,-2.6318119729938,305
"7732-18-5","7732-18-5","water",-3.15476521541715,18,273,-1.2518119729938,-2.6318119729938,304
"7732-18-5","7732-18-5","water",-3.52287874528034,18,273,-1.2518119729938,-2.6318119729938,298
"7732-18-5","7732-18-5","water",-3.5,18,273,-1.2518119729938,-2.6318119729938,298
"78-93-3","78-93-3","2-butanone",-2.34678748622466,72.1,187,-2.50863830616573,-2.13863830616573,303
"84-66-2","84-66-2","diethyl phthalate",-1.70509308939481,222.2,232,-5.17491288625797,-2.70491288625797,310
"87-66-1","87-66-1","pyrogallol",-2.81,126.11,406,-2.34298119489448,-1.37298119489448,310
"88-04-0","88-04-0","chloroxylenol",-1.22875360095283,156.6,389,-5.72124639904717,-2.37124639904717,298
"88-04-0","88-04-0","chloroxylenol",-1.09474395125155,156,388,-5.53377896260828,-2.18377896260828,305
"88-06-2","88-06-2","2,4,6-trichlorophenol",-1.23275783168158,197.5,342,-5.33724216831843,-1.75724216831843,298
"88-18-6","88-18-6","o-t-butylphenol",-1.12842706445412,150,266.2,-5.37806246565161,-2.20806246565161,305
"89-83-8","89-83-8","thymol; 2-isopropyl-5-methylphenol",-1.27607480270083,150.2,325,-5.17392519729917,-1.89392519729917,298
"89-83-8","89-83-8","thymol; 2-isopropyl-5-methylphenol",-1.21324857785444,150.2,325,-5.2083561272718,-1.9283561272718,305
"90-15-3","90-15-3","naphthol",-1.58502665202918,144.17,368.5,-5.22135700643865,-2.38125091198189,298
"90-15-3","90-15-3","naphthol",-1.52287874528034,144.17,368.5,-5.22135700643865,-2.38125091198189,298
"91-20-3","91-20-3","naphthalene",-1.55111528700206,128.17,354,-6.55017034359123,-3.25017034359123,305
"91-20-3","91-20-3","naphthalene",-1.78220214249451,128.17,354,-6.55017034359123,-3.25017034359123,305
"92-48-8","92-48-8","6-methylcoumarin",-1.18136926112576,160.17,347.5,-3.56938015318325,-2.15538015318325,305
"92-48-8","92-48-8","6-methylcoumarin",-1.331936361143,160.17,347.5,-3.56938015318325,-2.15538015318325,305
"93-60-7","93-60-7","nicotinate, methyl",-3.30980391997149,137.1,316,-3.33474024315784,-2.45474024315784,310
"93-60-7","93-60-7","nicotinate, methyl",-3.27572413039921,137.1,316,-3.2839966563652,-2.4039966563652,310
"937-20-2","937-20-2","2,4-dichloroacetophenone",-0.743772935647774,189.04,374.5,-5.89036750573181,-4.46536750573181,305
"937-20-2","937-20-2","2,4-dichloroacetophenone",-1.86052608660328,189.04,374.5,-5.89036750573181,-4.46536750573181,305
"94-13-3","94-13-3","propylparaben",-1.67615465544754,180.2,371,-5.41449957555232,-2.51449957555232,310
"94-13-3","94-13-3","propylparaben",-1.26606734367858,180.2,371,-5.47242442748251,-2.57242442748251,305
"94-13-3","94-13-3","propylparaben",-1.20290590120029,180.2,371,-5.47242442748251,-2.57242442748251,305
"94-26-8","94-26-8","butylparaben",-0.981299501333757,194.23,341.5,-5.87334296219547,-2.30334296219547,310
"94-26-8","94-26-8","butylparaben",-1.15242734085789,194.2,341.5,-5.89030921689995,-2.32030921689995,305
"95-48-7","95-48-7","o-cresol",-1.80172783601759,108.1,303,-3.63827216398241,-1.68827216398241,298
"95-54-5","95-54-5","o-phenylenediamine",-3.34678748622466,108.1,377,-3.42021640338319,-3.27021640338319,305
"95-57-8","95-57-8","o-chlorophenol",-1.48044892137827,128.6,282,-3.76955107862173,-1.61955107862173,298
"95-65-8","95-65-8","3,4-xylenol",-1.44278385671974,122.2,334,-4.38721614328026,-2.15721614328026,298
"97-00-7","97-00-7","2,4-dinitrochlorobenzene",-1.57500847696703,202.55,323,-6.32999645295807,-4.27999645295807,305
"97-00-7","97-00-7","2,4-dinitrochlorobenzene",-1.50012264373278,202.55,323,-6.32999645295807,-4.27999645295807,305
"97-53-0","97-53-0","eugenol",-1.592980675785,164.2,263.9,-4.76443077441808,-2.56443077441808,305
"97-53-0","97-53-0","eugenol",-1.555243965633,164.2,263.9,-4.76443077441808,-2.56443077441808,305
"97-54-1","97-54-1","isoeugenol",-1.74568406057766,164.2,263,-5.24708551040384,-2.89308551040384,305
"97-54-1","97-54-1","isoeugenol",-1.41300909711301,164.2,263,-5.24708551040384,-2.89308551040384,305
"98-86-2","98-86-2","acetophenone",-1.62740828480895,120.15,293,-4.22563908508624,-2.64563908508624,305
"98-86-2","98-86-2","acetophenone",-1.56017144166374,120.15,293,-4.22563908508624,-2.64563908508624,305
"99-76-3","99-76-3","methylparaben",-1.67358220444561,152.1,401,-4.79581134875639,-2.92581134875639,310
"99-76-3","99-76-3","methylparaben",-1.96257350205938,152.2,401,-4.80401675148642,-2.84401675148642,305
"99-76-3","99-76-3","methylparaben",-2.03394335230684,152.1,401,-4.88605664769316,-3.01605664769316,298
"99-76-3","99-76-3","methylparaben",-2.07572071393812,152,404,-4.85487313761985,-2.99487313761985,305
