"model","n","r_squared","adjusted_r_squared","residual_standard_error"
"LogSaqd ~ logKowb + Mptc",321,0.743397164094191,0.741783309780318,0.983437236152961
"LogSoce ~ logKowb + Mptc",321,0.52182990237259,0.518822543268015,0.983432935886617
"LogSaqd ~ GSE_logS",321,0.742693140393842,0.741886535818274,0.983240644528536
"LogSoce ~ GSE_logS",321,0.0332435214008264,0.0302129368284153,1.39614429508941
