"descriptor_1","descriptor_2","correlation","absolute_correlation"
"MVh","MWa",0.902391577344325,0.902391577344325
"logKowb","LogSaqd",-0.762922239021056,0.762922239021056
"LogSaqd","MVh",-0.762149924613761,0.762149924613761
"Hag","Hdf",0.725289263063333,0.725289263063333
"Hag","LogSoce",-0.704287964922546,0.704287964922546
