"descriptor","VIF"
"logKowb",20262320.3936508
"LogSaqd",16519870.7176236
"LogSoce",8865479.79938517
"MWa",16.5666137055422
"MVh",9.73710628689759
"Hag",5.59892456704588
"Hdf",3.25872902442472
"Mptc",1.98866839015271
"Texpi",1.1207884795561
"Skin.thicknessj",1.06531636638748
