"","logKowb","Mptc","Mpt_C","LogSaqd","LogSoce","GSE_logS"
"logKowb",1,-0.0964851882642899,-0.0964851882642899,-0.762922239021056,0.470324701722349,-0.898768077272521
"Mptc",-0.0964851882642899,1,1,-0.326195232764591,-0.591113685004648,-0.349661076166159
"Mpt_C",-0.0964851882642899,1,1,-0.326195232764591,-0.591113685004647,-0.349661076166158
"LogSaqd",-0.762922239021056,-0.326195232764591,-0.326195232764591,1,0.211702199000742,0.861796461117032
"LogSoce",0.470324701722349,-0.591113685004648,-0.591113685004647,0.211702199000742,1,-0.182328059828503
"GSE_logS",-0.898768077272521,-0.349661076166159,-0.349661076166158,0.861796461117032,-0.182328059828503,1
